Area_Name,Year,Auto_Theft_Stolen,CPA_Cases_Registered,Victims_Total,Cases_Property_Stolen,Rape_Cases_Reported
Jammu & Kashmir,2004.0,179.0,,882.0,143,555.0
Jharkhand,2004.0,104.0,,1089.0,0,797.0
Karnataka,2004.0,872.0,,1006.0,378,18.0
Kerala,2004.0,437.0,,290.0,0,779.0
Madhya Pradesh,2004.0,484.0,,1886.0,353,712.0
Maharashtra,2004.0,2136.0,,1773.0,26,14.0
Manipur,2004.0,2.0,,178.0,586,698.0
Meghalaya,2004.0,91.0,,149.0,1696,797.0
Mizoram,2004.0,0.0,,31.0,23,18.0
Nagaland,2004.0,49.0,,56.0,84,779.0
Odisha,2004.0,21.0,,780.0,12,753.0
Puducherry,2004.0,4.0,,22.0,3,120.0
Punjab,2004.0,440.0,,608.0,445,633.0
Rajasthan,2004.0,859.0,,1005.0,34,799.0
Sikkim,2004.0,3.0,,13.0,1419,94.0
Tamil Nadu,2004.0,128.0,,1051.0,466,705.0
Tripura,2004.0,4.0,,182.0,84,855.0
Uttar Pradesh,2004.0,1793.0,,5264.0,105,0.0
Uttarakhand,2004.0,74.0,,220.0,333,855.0
West Bengal,2004.0,250.0,,1008.0,354,791.0
Andhra Pradesh,2005.0,347.0,,11.0,236,12.0
Arunachal Pradesh,2005.0,2.0,,2206.0,0,779.0
Assam,2005.0,247.0,,80.0,424,719.0
Bihar,2005.0,83.0,,1129.0,1371,22.0
Chandigarh,2005.0,201.0,,3029.0,25,697.0
Chhattisgarh,2005.0,83.0,,15.0,23,773.0
Dadra & Nagar Haveli,2005.0,3.0,,727.0,0,11.0
Daman & Diu,2005.0,4.0,,7.0,10,762.0
Delhi,2005.0,3515.0,,5.0,249,293.0
Goa,2005.0,31.0,,375.0,7,5.0
Gujarat,2005.0,629.0,,35.0,311,288.0
Haryana,2005.0,1142.0,,757.0,55,292.0
Himachal Pradesh,2005.0,67.0,,669.0,4,4.0
Jammu & Kashmir,2005.0,164.0,,82.0,200,288.0
Jharkhand,2005.0,251.0,,644.0,17,321.0
Karnataka,2005.0,606.0,,1350.0,172,1.0
Kerala,2005.0,482.0,,1088.0,0,320.0
Madhya Pradesh,2005.0,554.0,,284.0,425,291.0
Maharashtra,2005.0,2129.0,,1900.0,8,7.0
Manipur,2005.0,2.0,,1765.0,348,284.0
Meghalaya,2005.0,90.0,,276.0,36,343.0
Mizoram,2005.0,0.0,,119.0,487,5.0
Nagaland,2005.0,71.0,,31.0,1181,338.0
Odisha,2005.0,51.0,,74.0,41,400.0
Puducherry,2005.0,9.0,,807.0,105,2.0
Punjab,2005.0,357.0,,10.0,12,398.0
Rajasthan,2005.0,809.0,,557.0,6,436.0
Sikkim,2005.0,4.0,,950.0,394,2.0
Tamil Nadu,2005.0,93.0,,5.0,42,434.0
Tripura,2005.0,1.0,,1049.0,1242,446.0
Uttar Pradesh,2005.0,1477.0,,94.0,492,0.0
Uttarakhand,2005.0,102.0,,5011.0,73,446.0
West Bengal,2005.0,176.0,,237.0,117,509.0
Andhra Pradesh,2006.0,434.0,,1089.0,168,18.0
Arunachal Pradesh,2006.0,0.0,,4.0,434,491.0
Assam,2006.0,409.0,,2196.0,278,586.0
Bihar,2006.0,49.0,,60.0,0,2.0
Chandigarh,2006.0,158.0,,1131.0,489,584.0
Chhattisgarh,2006.0,76.0,,2836.0,1637,562.0
Dadra & Nagar Haveli,2006.0,3.0,,10.0,52,4.0
Daman & Diu,2006.0,14.0,,762.0,14,558.0
Delhi,2006.0,4066.0,,6.0,10,499.0
Goa,2006.0,43.0,,5.0,16,4.0
Gujarat,2006.0,467.0,,360.0,288,495.0
Haryana,2006.0,1438.0,,30.0,8,394.0
Himachal Pradesh,2006.0,99.0,,848.0,301,7.0
Jammu & Kashmir,2006.0,67.0,,743.0,61,387.0
Jharkhand,2006.0,65.0,,98.0,4,480.0
Karnataka,2006.0,503.0,,565.0,179,3.0
Kerala,2006.0,519.0,,1278.0,32,477.0
Madhya Pradesh,2006.0,384.0,,1089.0,356,478.0
Maharashtra,2006.0,2252.0,,288.0,0,12.0
Manipur,2006.0,9.0,,1820.0,528,466.0
Meghalaya,2006.0,66.0,,1966.0,3,601.0
Mizoram,2006.0,24.0,,229.0,396,28.0
Nagaland,2006.0,43.0,,146.0,45,573.0
Odisha,2006.0,96.0,,22.0,461,512.0
Puducherry,2006.0,5.0,,115.0,1042,21.0
Punjab,2006.0,518.0,,783.0,59,491.0
Rajasthan,2006.0,1035.0,,21.0,130,568.0
Sikkim,2006.0,5.0,,614.0,30,17.0
Tamil Nadu,2006.0,131.0,,989.0,9,551.0
Tripura,2006.0,12.0,,14.0,442,568.0
Uttar Pradesh,2006.0,1458.0,,903.0,25,18.0
Uttarakhand,2006.0,101.0,,131.0,1118,550.0
West Bengal,2006.0,298.0,,4835.0,685,634.0
Andhra Pradesh,2007.0,298.0,,230.0,123,14.0
Arunachal Pradesh,2007.0,12.0,,995.0,121,620.0
Assam,2007.0,264.0,,9.0,292,0.0
Bihar,2007.0,61.0,,1964.0,378,0.0
Chandigarh,2007.0,357.0,,65.0,243,0.0
Chhattisgarh,2007.0,99.0,,1286.0,0,1.0
Dadra & Nagar Haveli,2007.0,1.0,,2691.0,362,0.0
Daman & Diu,2007.0,5.0,,14.0,1643,1.0
Delhi,2007.0,3613.0,,787.0,32,2.0
Goa,2007.0,32.0,,6.0,16,0.0
Gujarat,2007.0,508.0,,11.0,27,2.0
Haryana,2007.0,1237.0,,384.0,16,0.0
Himachal Pradesh,2007.0,86.0,,18.0,272,0.0
Jammu & Kashmir,2007.0,130.0,,900.0,6,0.0
Jharkhand,2007.0,365.0,,775.0,274,0.0
Karnataka,2007.0,546.0,,97.0,226,0.0
Kerala,2007.0,606.0,,326.0,10,0.0
Madhya Pradesh,2007.0,469.0,,1380.0,131,0.0
Maharashtra,2007.0,2219.0,,1081.0,23,0.0
Manipur,2007.0,12.0,,252.0,599,0.0
Meghalaya,2007.0,15.0,,1764.0,0,1.0
Mizoram,2007.0,15.0,,1779.0,519,0.0
Nagaland,2007.0,56.0,,275.0,7,1.0
Odisha,2007.0,99.0,,107.0,278,2.0
Puducherry,2007.0,11.0,,25.0,41,0.0
Punjab,2007.0,577.0,,104.0,653,2.0
Rajasthan,2007.0,1130.0,,863.0,1309,1.0
Sikkim,2007.0,6.0,,25.0,38,0.0
Tamil Nadu,2007.0,100.0,,601.0,140,1.0
Tripura,2007.0,2.0,,1040.0,17,0.0
Uttar Pradesh,2007.0,1458.0,,6.0,5,0.0
Uttarakhand,2007.0,119.0,,1107.0,451,0.0
West Bengal,2007.0,328.0,,100.0,25,2851.0
Andhra Pradesh,2008.0,300.0,,4283.0,987,301.0
Arunachal Pradesh,2008.0,17.0,,191.0,676,2550.0
Assam,2008.0,508.0,,1006.0,104,2891.0
Bihar,2008.0,134.0,,6.0,58,72.0
Chandigarh,2008.0,426.0,,1932.0,207,2819.0
Chhattisgarh,2008.0,405.0,,71.0,320,2738.0
Dadra & Nagar Haveli,2008.0,1.0,,1323.0,298,123.0
Daman & Diu,2008.0,8.0,,2502.0,0,2615.0
Delhi,2008.0,4388.0,,11.0,392,2875.0
Goa,2008.0,20.0,,806.0,1621,63.0
Gujarat,2008.0,593.0,,5.0,19,2812.0
Haryana,2008.0,1534.0,,2.0,16,2921.0
Himachal Pradesh,2008.0,119.0,,473.0,19,141.0
Jammu & Kashmir,2008.0,163.0,,33.0,11,2780.0
Jharkhand,2008.0,277.0,,805.0,319,2900.0
Karnataka,2008.0,813.0,,785.0,6,29.0
Kerala,2008.0,452.0,,94.0,313,2871.0
Madhya Pradesh,2008.0,454.0,,236.0,320,3010.0
Maharashtra,2008.0,2459.0,,1431.0,7,49.0
Manipur,2008.0,59.0,,1176.0,256,2961.0
Meghalaya,2008.0,53.0,,251.0,42,2937.0
Mizoram,2008.0,15.0,,1835.0,1566,52.0
Nagaland,2008.0,89.0,,1927.0,0,2885.0
Odisha,2008.0,125.0,,249.0,669,2998.0
Puducherry,2008.0,13.0,,111.0,12,14.0
Punjab,2008.0,641.0,,33.0,329,2984.0
Rajasthan,2008.0,1223.0,,141.0,43,3135.0
Sikkim,2008.0,6.0,,705.0,680,21.0
Tamil Nadu,2008.0,200.0,,27.0,1352,3114.0
Tripura,2008.0,3.0,,596.0,37,1302.0
Uttar Pradesh,2008.0,1546.0,,1033.0,146,20.0
Uttarakhand,2008.0,124.0,,6.0,10,1282.0
West Bengal,2008.0,272.0,,1200.0,4,1352.0
Andaman & Nicobar Islands,2009.0,1.0,,103.0,355,21.0
Andhra Pradesh,2009.0,436.0,,3859.0,40,1331.0
Arunachal Pradesh,2009.0,26.0,,213.0,917,1268.0
Assam,2009.0,443.0,,1561.0,763,18.0
Bihar,2009.0,262.0,,10.0,109,1250.0
Chandigarh,2009.0,466.0,,1675.0,25,1388.0
Chhattisgarh,2009.0,236.0,,58.0,155,31.0
Dadra & Nagar Haveli,2009.0,10.0,,1226.0,360,1357.0
Daman & Diu,2009.0,4.0,,2507.0,319,1545.0
Delhi,2009.0,4757.0,,19.0,0,38.0
Goa,2009.0,19.0,,757.0,450,1507.0
Gujarat,2009.0,763.0,,4.0,1761,1500.0
Haryana,2009.0,1587.0,,4.0,24,36.0
Himachal Pradesh,2009.0,166.0,,445.0,28,1464.0
Jammu & Kashmir,2009.0,433.0,,26.0,28,1451.0
Jharkhand,2009.0,295.0,,734.0,16,40.0
Karnataka,2009.0,959.0,,786.0,278,1411.0
Kerala,2009.0,307.0,,94.0,13,1558.0
Lakshadweep,2009.0,4.0,,216.0,236,35.0
Madhya Pradesh,2009.0,675.0,,1435.0,255,1523.0
Maharashtra,2009.0,2523.0,,1073.0,6,1483.0
Manipur,2009.0,51.0,,260.0,183,76.0
Meghalaya,2009.0,59.0,,1777.0,42,1407.0
Mizoram,2009.0,8.0,,1712.0,2008,1599.0
Nagaland,2009.0,103.0,,156.0,0,44.0
Odisha,2009.0,358.0,,106.0,853,1555.0
Puducherry,2009.0,9.0,,28.0,7,20.0
Punjab,2009.0,870.0,,40.0,466,2.0
Rajasthan,2009.0,1654.0,,806.0,38,18.0
Sikkim,2009.0,7.0,,29.0,802,14.0
Tamil Nadu,2009.0,194.0,,658.0,1186,3.0
Tripura,2009.0,4.0,,1089.0,38,11.0
Uttar Pradesh,2009.0,2718.0,,14.0,166,18.0
Uttarakhand,2009.0,106.0,,1270.0,17,0.0
West Bengal,2009.0,401.0,,91.0,6,18.0
Andhra Pradesh,2010.0,602.0,,3724.0,333,31.0
Arunachal Pradesh,2010.0,5.0,,144.0,46,0.0
Assam,2010.0,103.0,,1468.0,987,31.0
Bihar,2010.0,360.0,,5.0,761,25.0
Chandigarh,2010.0,355.0,,1914.0,88,1.0
Chhattisgarh,2010.0,152.0,,73.0,36,24.0
Dadra & Nagar Haveli,2010.0,6.0,,1137.0,442,40.0
Daman & Diu,2010.0,2.0,,2700.0,389,0.0
Delhi,2010.0,5281.0,,20.0,254,40.0
Goa,2010.0,20.0,,708.0,0,20.0
Gujarat,2010.0,843.0,,5.0,437,1.0
Haryana,2010.0,1918.0,,5.0,1735,19.0
Himachal Pradesh,2010.0,161.0,,458.0,19,38.0
Jammu & Kashmir,2010.0,334.0,,28.0,26,0.0
Jharkhand,2010.0,368.0,,814.0,30,38.0
Karnataka,2010.0,1087.0,,831.0,6,31.0
Kerala,2010.0,180.0,,105.0,175,0.0
Madhya Pradesh,2010.0,780.0,,205.0,7,31.0
Maharashtra,2010.0,2612.0,,1496.0,222,34.0
Manipur,2010.0,47.0,,1147.0,295,0.0
Meghalaya,2010.0,43.0,,279.0,4,34.0
Mizoram,2010.0,18.0,,1890.0,205,26.0
Nagaland,2010.0,81.0,,1790.0,52,5.0
Odisha,2010.0,181.0,,82.0,1176,21.0
Puducherry,2010.0,12.0,,126.0,0,38.0
Punjab,2010.0,943.0,,40.0,896,1.0
Rajasthan,2010.0,1491.0,,42.0,10,37.0
Sikkim,2010.0,2.0,,783.0,417,40.0
Tamil Nadu,2010.0,265.0,,30.0,59,5.0
Tripura,2010.0,2.0,,703.0,992,35.0
Uttar Pradesh,2010.0,3046.0,,1115.0,1071,54.0
Uttarakhand,2010.0,96.0,,9.0,23,4.0
West Bengal,2010.0,401.0,,1279.0,196,50.0
Andhra Pradesh,2001.0,5.0,,96.0,12,63.0
Arunachal Pradesh,2001.0,0.0,,3597.0,4,4.0
Assam,2001.0,0.0,,132.0,273,59.0
Bihar,2001.0,0.0,,1522.0,45,74.0
Chandigarh,2001.0,0.0,,13.0,997,0.0
Chhattisgarh,2001.0,0.0,,2783.0,743,74.0
Delhi,2001.0,37.0,,83.0,71,82.0
Gujarat,2001.0,3.0,,1356.0,36,9.0
Haryana,2001.0,12.0,,3643.0,399,73.0
Himachal Pradesh,2001.0,1.0,,15.0,380,88.0
Jammu & Kashmir,2001.0,4.0,,1657.0,264,5.0
Jharkhand,2001.0,2.0,,3.0,0,83.0
Karnataka,2001.0,5.0,,574.0,371,112.0
Kerala,2001.0,42.0,,37.0,1812,5.0
Madhya Pradesh,2001.0,4.0,,1280.0,24,107.0
Maharashtra,2001.0,11.0,,818.0,32,149.0
Meghalaya,2001.0,1.0,,122.0,25,8.0
Mizoram,2001.0,0.0,,1412.0,13,141.0
Nagaland,2001.0,0.0,,1507.0,239,52.0
Odisha,2001.0,0.0,,1678.0,12,0.0
Punjab,2001.0,23.0,,489.0,227,52.0
Rajasthan,2001.0,41.0,,2.0,241,76.0
Tamil Nadu,2001.0,8.0,,2425.0,1,0.0
Uttar Pradesh,2001.0,17.0,,2950.0,156,76.0
Uttarakhand,2001.0,1.0,,233.0,44,54.0
West Bengal,2001.0,1.0,,169.0,864,2.0
Andhra Pradesh,2002.0,5.0,,31.0,0,52.0
Assam,2002.0,0.0,,109.0,997,20.0
Bihar,2002.0,0.0,,1005.0,0,0.0
Chhattisgarh,2002.0,0.0,,25.0,203,20.0
Daman & Diu,2002.0,0.0,,787.0,22,37.0
Delhi,2002.0,27.0,,1275.0,532,0.0
Goa,2002.0,1.0,,19.0,1290,37.0
Gujarat,2002.0,36.0,,1662.0,5,72.0
Haryana,2002.0,16.0,,240.0,87,0.0
Himachal Pradesh,2002.0,0.0,,8180.0,0,72.0
Jammu & Kashmir,2002.0,5.0,,381.0,0,83.0
Karnataka,2002.0,1.0,,1673.0,48,2.0
Kerala,2002.0,19.0,,17.0,7,81.0
Madhya Pradesh,2002.0,15.0,,2651.0,313,77.0
Maharashtra,2002.0,13.0,,61.0,76,3.0
Meghalaya,2002.0,0.0,,1253.0,4,74.0
Nagaland,2002.0,0.0,,3831.0,24,83.0
Odisha,2002.0,0.0,,31.0,503,3.0
Punjab,2002.0,5.0,,844.0,178,80.0
Rajasthan,2002.0,29.0,,11.0,140,92.0
Tamil Nadu,2002.0,2.0,,8.0,0,3.0
Uttar Pradesh,2002.0,25.0,,541.0,166,89.0
West Bengal,2002.0,8.0,,31.0,523,17.0
Andhra Pradesh,2003.0,6.0,,2327.0,20,1.0
Arunachal Pradesh,2003.0,0.0,,811.0,96,16.0
Assam,2003.0,0.0,,132.0,2,17.0
Bihar,2003.0,0.0,,1307.0,9,0.0
Chandigarh,2003.0,0.0,,1488.0,195,17.0
Chhattisgarh,2003.0,0.0,,1704.0,1,14.0
Daman & Diu,2003.0,0.0,,454.0,45,0.0
Delhi,2003.0,18.0,,2395.0,55,14.0
Gujarat,2003.0,36.0,,2991.0,0,18.0
Haryana,2003.0,32.0,,222.0,158,0.0
Himachal Pradesh,2003.0,0.0,,184.0,26,18.0
Jammu & Kashmir,2003.0,0.0,,29.0,622,17.0
Jharkhand,2003.0,0.0,,108.0,32,0.0
Karnataka,2003.0,4.0,,1148.0,274,17.0
Kerala,2003.0,4.0,,31.0,1,23.0
Maharashtra,2003.0,15.0,,772.0,193,0.0
Meghalaya,2003.0,0.0,,1324.0,22,23.0
Nagaland,2003.0,0.0,,13.0,473,13.0
Odisha,2003.0,0.0,,1787.0,1289,1.0
Punjab,2003.0,17.0,,201.0,1,12.0
Rajasthan,2003.0,38.0,,7538.0,144,19.0
Tamil Nadu,2003.0,2.0,,335.0,1,1.0
Uttar Pradesh,2003.0,34.0,,1453.0,2,18.0
West Bengal,2003.0,1.0,,21.0,47,22.0
Andhra Pradesh,2004.0,15.0,,2914.0,5,0.0
Arunachal Pradesh,2004.0,0.0,,77.0,777,22.0
Assam,2004.0,21.0,,1191.0,61,16.0
Bihar,2004.0,0.0,,3772.0,0,1.0
Chandigarh,2004.0,2.0,,21.0,42,15.0
Chhattisgarh,2004.0,0.0,,797.0,580,790.0
Delhi,2004.0,10.0,,11.0,178,4.0
Gujarat,2004.0,46.0,,6.0,125,786.0
Haryana,2004.0,2.0,,502.0,0,691.0
Himachal Pradesh,2004.0,1.0,,34.0,136,1.0
Karnataka,2004.0,12.0,,1164.0,542,690.0
Kerala,2004.0,4.0,,748.0,3,725.0
Madhya Pradesh,2004.0,7.0,,130.0,64,0.0
Maharashtra,2004.0,21.0,,1115.0,5,725.0
Manipur,2004.0,0.0,,1482.0,15,770.0
Meghalaya,2004.0,0.0,,1576.0,230,1.0
Mizoram,2004.0,0.0,,435.0,2,769.0
Nagaland,2004.0,0.0,,2227.0,50,799.0
Odisha,2004.0,35.0,,2951.0,45,7.0
Puducherry,2004.0,1.0,,185.0,0,792.0
Punjab,2004.0,1.0,,175.0,174,985.0
Rajasthan,2004.0,12.0,,46.0,29,0.0
Sikkim,2004.0,0.0,,91.0,327,985.0
Tamil Nadu,2004.0,2.0,,1102.0,25,939.0
Uttar Pradesh,2004.0,24.0,,30.0,204,0.0
Uttarakhand,2004.0,1.0,,769.0,2,939.0
West Bengal,2004.0,0.0,,1284.0,173,1113.0
Andhra Pradesh,2005.0,0.0,,16.0,37,17.0
Arunachal Pradesh,2005.0,0.0,,1654.0,471,1096.0
Assam,2005.0,1.0,,254.0,1221,1023.0
Bihar,2005.0,0.0,,5284.0,3,6.0
Chandigarh,2005.0,0.0,,293.0,140,1017.0
Chhattisgarh,2005.0,0.0,,1464.0,4,1025.0
Delhi,2005.0,7.0,,15.0,4,37.0
Gujarat,2005.0,55.0,,2640.0,28,988.0
Haryana,2005.0,13.0,,67.0,4,9.0
Himachal Pradesh,2005.0,1.0,,1214.0,330,0.0
Jammu & Kashmir,2005.0,0.0,,3948.0,63,9.0
Jharkhand,2005.0,2.0,,22.0,8,6.0
Karnataka,2005.0,4.0,,927.0,23,0.0
Kerala,2005.0,24.0,,11.0,682,6.0
Madhya Pradesh,2005.0,0.0,,3.0,220,2.0
Maharashtra,2005.0,13.0,,510.0,118,0.0
Manipur,2005.0,0.0,,42.0,0,2.0
Meghalaya,2005.0,0.0,,1169.0,153,4.0
Mizoram,2005.0,0.0,,742.0,504,0.0
Nagaland,2005.0,0.0,,110.0,3,4.0
Odisha,2005.0,0.0,,989.0,83,6.0
Punjab,2005.0,4.0,,1488.0,5,0.0
Rajasthan,2005.0,25.0,,1567.0,19,6.0
Tamil Nadu,2005.0,1.0,,427.0,176,9.0
Uttar Pradesh,2005.0,72.0,,2380.0,2,0.0
West Bengal,2005.0,0.0,,2777.0,30,9.0
Andhra Pradesh,2006.0,24.0,,193.0,34,9.0
Arunachal Pradesh,2006.0,0.0,,157.0,2,0.0
Assam,2006.0,4.0,,35.0,95,9.0
Bihar,2006.0,2.0,,73.0,36,8.0
Chandigarh,2006.0,0.0,,1137.0,227,0.0
Chhattisgarh,2006.0,28.0,,25.0,18,8.0
Delhi,2006.0,5.0,,802.0,217,1.0
Gujarat,2006.0,8.0,,1292.0,0,0.0
Haryana,2006.0,14.0,,18.0,152,1.0
Himachal Pradesh,2006.0,3.0,,1544.0,30,3.0
Jammu & Kashmir,2006.0,0.0,,226.0,360,0.0
Jharkhand,2006.0,1.0,,6665.0,1319,3.0
Karnataka,2006.0,15.0,,267.0,0,298.0
Kerala,2006.0,15.0,,1433.0,106,0.0
Madhya Pradesh,2006.0,0.0,,15.0,3,298.0
Maharashtra,2006.0,46.0,,2928.0,0,299.0
Manipur,2006.0,0.0,,81.0,30,4.0
Meghalaya,2006.0,0.0,,1194.0,5,295.0
Mizoram,2006.0,1.0,,3471.0,348,380.0
Nagaland,2006.0,0.0,,18.0,52,9.0
Odisha,2006.0,0.0,,1050.0,1,371.0
Punjab,2006.0,2.0,,7.0,28,390.0
Rajasthan,2006.0,24.0,,5.0,580,65.0
Uttar Pradesh,2006.0,68.0,,533.0,177,325.0
West Bengal,2006.0,1.0,,49.0,114,398.0
Andhra Pradesh,2007.0,2.0,,1103.0,0,50.0
Arunachal Pradesh,2007.0,0.0,,812.0,147,348.0
Assam,2007.0,8.0,,118.0,623,442.0
Bihar,2007.0,0.0,,746.0,2,1.0
Chandigarh,2007.0,0.0,,1523.0,71,441.0
Chhattisgarh,2007.0,0.0,,1673.0,10,519.0
Delhi,2007.0,10.0,,431.0,9,7.0
Gujarat,2007.0,22.0,,1.0,238,512.0
Haryana,2007.0,7.0,,2428.0,0,517.0
Himachal Pradesh,2007.0,17.0,,2745.0,17,2.0
Jammu & Kashmir,2007.0,5.0,,295.0,54,515.0
Karnataka,2007.0,25.0,,138.0,0,511.0
Kerala,2007.0,10.0,,35.0,72,8.0
Madhya Pradesh,2007.0,24.0,,91.0,27,503.0
Maharashtra,2007.0,28.0,,1133.0,254,546.0
Manipur,2007.0,0.0,,19.0,31,17.0
Meghalaya,2007.0,0.0,,744.0,212,529.0
Mizoram,2007.0,0.0,,1246.0,0,1049.0
Nagaland,2007.0,0.0,,9.0,245,18.0
Odisha,2007.0,0.0,,1511.0,23,1031.0
Punjab,2007.0,5.0,,158.0,334,1051.0
Rajasthan,2007.0,13.0,,6365.0,1212,31.0
Tamil Nadu,2007.0,3.0,,290.0,0,1020.0
Uttar Pradesh,2007.0,51.0,,1454.0,204,1050.0
West Bengal,2007.0,2.0,,5.0,3,32.0
Andaman & Nicobar Islands,2008.0,1.0,,2940.0,4,1018.0
Andhra Pradesh,2008.0,3.0,,60.0,27,1038.0
Arunachal Pradesh,2008.0,0.0,,1207.0,2,39.0
Assam,2008.0,4.0,,3249.0,277,999.0
Bihar,2008.0,2.0,,14.0,87,993.0
Chandigarh,2008.0,1.0,,1098.0,6,33.0
Chhattisgarh,2008.0,0.0,,9.0,13,960.0
Delhi,2008.0,8.0,,7.0,592,1085.0
Goa,2008.0,1.0,,488.0,208,42.0
Gujarat,2008.0,21.0,,40.0,97,1043.0
Haryana,2008.0,8.0,,1214.0,0,1238.0
Himachal Pradesh,2008.0,0.0,,899.0,147,42.0
Jammu & Kashmir,2008.0,0.0,,129.0,625,1196.0
Jharkhand,2008.0,1.0,,641.0,4,1355.0
Karnataka,2008.0,4.0,,1492.0,63,40.0
Kerala,2008.0,5.0,,1677.0,3,1315.0
Maharashtra,2008.0,22.0,,426.0,12,1519.0
Manipur,2008.0,0.0,,2330.0,184,36.0
Meghalaya,2008.0,0.0,,2961.0,1,1483.0
Mizoram,2008.0,0.0,,238.0,27,1571.0
Nagaland,2008.0,0.0,,157.0,39,24.0
Odisha,2008.0,0.0,,25.0,2,1547.0
Punjab,2008.0,2.0,,123.0,73,8.0
Rajasthan,2008.0,97.0,,1167.0,22,1.0
Tamil Nadu,2008.0,0.0,,30.0,216,7.0
Uttar Pradesh,2008.0,17.0,,851.0,44,6.0
West Bengal,2008.0,0.0,,1238.0,211,1.0
Andhra Pradesh,2009.0,1.0,,21.0,0,5.0
Arunachal Pradesh,2009.0,0.0,,1418.0,174,10.0
Assam,2009.0,3.0,,165.0,28,0.0
Bihar,2009.0,1.0,,5762.0,319,10.0
Chandigarh,2009.0,1.0,,285.0,1001,3.0
Chhattisgarh,2009.0,0.0,,1442.0,1,0.0
Delhi,2009.0,13.0,,15.0,160,3.0
Goa,2009.0,1.0,,2850.0,5,18.0
Gujarat,2009.0,11.0,,68.0,8,1.0
Haryana,2009.0,6.0,,1374.0,14,17.0
Himachal Pradesh,2009.0,0.0,,3081.0,7,20.0
Jammu & Kashmir,2009.0,0.0,,20.0,280,0.0
Jharkhand,2009.0,1.0,,1097.0,104,20.0
Karnataka,2009.0,5.0,,10.0,7,24.0
Kerala,2009.0,3.0,,12.0,10,4.0
Madhya Pradesh,2009.0,0.0,,511.0,534,20.0
Maharashtra,2009.0,10.0,,34.0,202,20.0
Manipur,2009.0,0.0,,1214.0,119,1.0
Meghalaya,2009.0,0.0,,942.0,0,19.0
Odisha,2009.0,0.0,,132.0,151,18.0
Punjab,2009.0,1.0,,366.0,659,0.0
Rajasthan,2009.0,5.0,,1617.0,2,18.0
Tamil Nadu,2009.0,4.0,,1586.0,57,18.0
Tripura,2009.0,1.0,,393.0,4,2.0
Uttar Pradesh,2009.0,20.0,,2315.0,15,16.0
West Bengal,2009.0,1.0,,2793.0,239,423.0
Andhra Pradesh,2010.0,65.0,,295.0,2,21.0
Arunachal Pradesh,2010.0,0.0,,114.0,35,402.0
Assam,2010.0,2.0,,43.0,35,534.0
Chandigarh,2010.0,0.0,,118.0,0,0.0
Chhattisgarh,2010.0,0.0,,1235.0,95,534.0
Delhi,2010.0,6.0,,35.0,18,557.0
Gujarat,2010.0,1.0,,826.0,107,40.0
Haryana,2010.0,9.0,,1359.0,30,517.0
Himachal Pradesh,2010.0,0.0,,9.0,177,618.0
Jammu & Kashmir,2010.0,5.0,,1711.0,5,36.0
Jharkhand,2010.0,0.0,,150.0,138,582.0
Karnataka,2010.0,1.0,,5182.0,16,571.0
Kerala,2010.0,0.0,,268.0,299,11.0
Maharashtra,2010.0,11.0,,1653.0,686,560.0
Manipur,2010.0,0.0,,8.0,2,457.0
Meghalaya,2010.0,0.0,,2762.0,115,1.0
Mizoram,2010.0,0.0,,72.0,1,456.0
Nagaland,2010.0,0.0,,1426.0,3,523.0
Odisha,2010.0,0.0,,3139.0,34,2.0
Punjab,2010.0,8.0,,17.0,7,521.0
Rajasthan,2010.0,26.0,,1169.0,232,573.0
Tamil Nadu,2010.0,1.0,,9.0,139,1.0
Uttar Pradesh,2010.0,10.0,,2.0,4,572.0
Uttarakhand,2010.0,1.0,,589.0,11,596.0
West Bengal,2010.0,1.0,,53.0,523,4.0
Andhra Pradesh,2001.0,1.0,,1145.0,178,592.0
Arunachal Pradesh,2001.0,0.0,,970.0,108,686.0
Assam,2001.0,0.0,,130.0,0,0.0
Bihar,2001.0,7.0,,266.0,143,686.0
Chandigarh,2001.0,7.0,,1697.0,709,102.0
Chhattisgarh,2001.0,8.0,,1800.0,3,0.0
Delhi,2001.0,122.0,,379.0,55,102.0
Goa,2001.0,3.0,,1.0,0,108.0
Gujarat,2001.0,53.0,,2351.0,7,0.0
Haryana,2001.0,71.0,,2976.0,247,108.0
Himachal Pradesh,2001.0,10.0,,268.0,1,114.0
Jammu & Kashmir,2001.0,0.0,,126.0,37,0.0
Jharkhand,2001.0,8.0,,35.0,71,114.0
Karnataka,2001.0,65.0,,147.0,0,160.0
Kerala,2001.0,58.0,,1250.0,88,1.0
Madhya Pradesh,2001.0,19.0,,35.0,14,159.0
Maharashtra,2001.0,263.0,,815.0,125,162.0
Meghalaya,2001.0,8.0,,1320.0,33,0.0
Mizoram,2001.0,1.0,,9.0,146,162.0
Nagaland,2001.0,0.0,,1824.0,0,189.0
Odisha,2001.0,6.0,,166.0,108,4.0
Punjab,2001.0,83.0,,4699.0,14,185.0
Rajasthan,2001.0,71.0,,261.0,312,157.0
Tamil Nadu,2001.0,22.0,,1811.0,686,0.0
Uttar Pradesh,2001.0,29.0,,18.0,1,157.0
Uttarakhand,2001.0,5.0,,2475.0,124,204.0
West Bengal,2001.0,2.0,,59.0,1,0.0
Andhra Pradesh,2002.0,7.0,,1323.0,2,204.0
Assam,2002.0,0.0,,3179.0,24,190.0
