Area_Name,Auto_Theft_Stolen,CPA_Cases_Registered,Victims_Total,Cases_Property_Stolen,Rape_Cases_Reported
Himachal Pradesh,67.0,,669.0,4,4.0
Jammu & Kashmir,164.0,,82.0,200,288.0
Jharkhand,251.0,,644.0,17,321.0
Karnataka,606.0,,1350.0,172,1.0
Kerala,482.0,,1088.0,0,320.0
Madhya Pradesh,554.0,,284.0,425,291.0
Maharashtra,2129.0,,1900.0,8,7.0
Manipur,2.0,,1765.0,348,284.0
Meghalaya,90.0,,276.0,36,343.0
Mizoram,0.0,,119.0,487,5.0
Nagaland,71.0,,31.0,1181,338.0
Odisha,51.0,,74.0,41,400.0
Puducherry,9.0,,807.0,105,2.0
Punjab,357.0,,10.0,12,398.0
Rajasthan,809.0,,557.0,6,436.0
Sikkim,4.0,,950.0,394,2.0
Tamil Nadu,93.0,,5.0,42,434.0
Tripura,1.0,,1049.0,1242,446.0
Uttar Pradesh,1477.0,,94.0,492,0.0
Uttarakhand,102.0,,5011.0,73,446.0
West Bengal,176.0,,237.0,117,509.0
Andhra Pradesh,434.0,,1089.0,168,18.0
Arunachal Pradesh,0.0,,4.0,434,491.0
Assam,409.0,,2196.0,278,586.0
Bihar,49.0,,60.0,0,2.0
Chandigarh,158.0,,1131.0,489,584.0
Chhattisgarh,76.0,,2836.0,1637,562.0
Dadra & Nagar Haveli,3.0,,10.0,52,4.0
Daman & Diu,14.0,,762.0,14,558.0
Delhi,4066.0,,6.0,10,499.0
Goa,43.0,,5.0,16,4.0
Gujarat,467.0,,360.0,288,495.0
Haryana,1438.0,,30.0,8,394.0
Himachal Pradesh,99.0,,848.0,301,7.0
Jammu & Kashmir,67.0,,743.0,61,387.0
Jharkhand,65.0,,98.0,4,480.0
Karnataka,503.0,,565.0,179,3.0
Kerala,519.0,,1278.0,32,477.0
Madhya Pradesh,384.0,,1089.0,356,478.0
Maharashtra,2252.0,,288.0,0,12.0
Manipur,9.0,,1820.0,528,466.0
Meghalaya,66.0,,1966.0,3,601.0
Mizoram,24.0,,229.0,396,28.0
Nagaland,43.0,,146.0,45,573.0
Odisha,96.0,,22.0,461,512.0
Puducherry,5.0,,115.0,1042,21.0
Punjab,518.0,,783.0,59,491.0
Rajasthan,1035.0,,21.0,130,568.0
Sikkim,5.0,,614.0,30,17.0
Tamil Nadu,131.0,,989.0,9,551.0
Tripura,12.0,,14.0,442,568.0
Uttar Pradesh,1458.0,,903.0,25,18.0
Uttarakhand,101.0,,131.0,1118,550.0
West Bengal,298.0,,4835.0,685,634.0
Andhra Pradesh,298.0,,230.0,123,14.0
Arunachal Pradesh,12.0,,995.0,121,620.0
Assam,264.0,,9.0,292,0.0
Bihar,61.0,,1964.0,378,0.0
Chandigarh,357.0,,65.0,243,0.0
Chhattisgarh,99.0,,1286.0,0,1.0
Dadra & Nagar Haveli,1.0,,2691.0,362,0.0
Daman & Diu,5.0,,14.0,1643,1.0
